id_estudante;genero;idade;zona;escola;monitor;grupo;dfs1;dfs2;dfs3;dfs4;dfs5;dfs6;dfs7;dfs8;dfs9;media_dfs;fss1;fss2;fss3;fss4;fss5;fss6;fss7;fss8;fss9;media_fss
E01;M;11;Urbana;1;PR;Experimental;1;3;2;2;4;3;2;3;2;2.466666667;5;;4;;5;5;4;5;5;4.714285714
E02;F;11;Rural;1;PR;Experimental;5;3;5;4;;2;1;3;2;3.197530864;2;5;3;4;5;4;4;5;4;4
E03;M;11;Urbana;1;PR;Experimental;3;4;5;2;4;5;1;2;3;3.255555556;4;2;5;2;4;3;4;5;1;3.333333333
E04;M;14;Urbana;1;PR;Experimental;5;3;2;3;2;3;1;4;4;2.866666667;5;4;4;5;5;4;5;4;4;4.444444444
E05;M;11;Rural;1;PR;Experimental;5;5;3;3;3;5;3;5;5;4.033333333;2;3;4;5;1;3;2;5;3;3.111111111
E06;M;11;Rural;1;PR;Experimental;;;;;;;;;;;5;5;1;5;2;4;5;5;5;4.111111111
E07;F;11;Rural;1;PR;Experimental;5;3;4;4;4;3;4;4;5;3.977777778;3;4;3;3;5;3;5;4;3;3.666666667
E08;F;12;Urbana;1;PR;Experimental;4;4;3;3;5;4;3;3;;3.641975309;3;4;2;2;3;3;1;2;4;2.666666667
E09;F;14;Urbana;1;PR;Experimental;;;;;;;;;;;;;;;;;;;;
E10;M;11;Rural;1;PR;Experimental;1;1;3;2;3;1;3;5;5;2.644444444;1;4;5;4;4;4;4;5;3;3.777777778
E11;M;11;Rural;1;PR;Experimental;5;3;4;5;5;4;1;3;5;3.885714286;3;3;5;4;5;4;4;4;5;4.111111111
E12;F;11;Urbana;1;PR;Experimental;5;2;;3;5;4;1;3;5;3.543209877;4;4;4;3;4;5;4;5;5;4.222222222
E13;M;14;Urbana;1;PR;Experimental;3;2;3;3;2;3;2;3;2;2.533333333;;;;;;;;;;
E14;F;13;Urbana;2;MM;Experimental;4;5;5;4;5;4;2;4;3;4;2;2;2;3;4;3;5;5;3;3.222222222
E15;M;12;Urbana;2;MM;Experimental;2;2;1;2;2;2;1;1;2;1.666666667;4;2;4;2;4;4;3;4;2;3.222222222
E16;F;10;Urbana;2;MM;Experimental;4;5;2;2;5;1;4;3;2;3.111111111;2;3;2;5;2;2;5;2;2;2.777777778
E17;M;11;Urbana;2;MM;Experimental;4;2;5;5;5;5;1;5;4;4;4;2;4;3;4;4;5;5;4;3.888888889
E18;F;10;Rural;2;MM;Experimental;4;4;4;3;3;3;2;4;4;3.444444444;3;5;3;3;3;3;4;3;3;3.333333333
E19;M;10;Rural;2;MM;Experimental;2;1;3;3;4;3;4;2;3;2.777777778;4;4;3;3;4;3;4;4;2;3.444444444
E20;F;11;Urbana;2;MM;Experimental;3;3;3;4;5;5;1;4;2;3.333333333;4;3;3;4;5;5;4;4;5;4.111111111
E21;M;10;Urbana;2;MM;Experimental;3;4;2;3;5;1;3;4;3;3.111111111;3;2;2;3;3;4;2;4;3;2.888888889
E22;F;12;Urbana;2;MM;Experimental;3;1;5;4;4;3;3;1;3;3;;;;;;;;;;
E23;F;11;Urbana;2;MM;Experimental;3;2;5;4;5;5;5;3;5;4.111111111;4;2;5;1;3;4;3;4;4;3.333333333
E24;M;11;Rural;2;MM;Experimental;3;3;2;3;3;5;3;5;3;3.333333333;2;4;2;3;4;2;5;3;2;3
E25;M;13;Urbana;2;MM;Experimental;2;4;1;5;2;2;1;3;3;2.555555556;3;1;2;2;1;4;1;2;1;1.888888889
E26;M;12;;2;MM;Experimental;5;2;1;5;5;1;2;5;5;3.444444444;;;;;;;;;;
E27;M;13;;2;MM;Experimental;3;2;4;5;5;4;1;3;5;3.555555556;4;2;3;3;3;1;5;3;3;3
E28;M;13;;2;MM;Experimental;5;5;5;4;3;3;2;3;5;3.888888889;5;1;2;2;3;4;3;5;1;2.888888889
E29;M;13;;2;MM;Experimental;5;5;2;5;3;1;5;2;1;3.222222222;2;2;2;3;4;3;5;5;3;3.222222222
