id_estudante;genero;idade;zona;escola;monitor;grupo;dfs1;dfs2;dfs3;dfs4;dfs5;dfs6;dfs7;dfs8;dfs9;media_dfs;fss1;fss2;fss3;fss4;fss5;fss6;fss7;fss8;fss9;media_fss
E01;M;11;Urbana;1;PR;Experimental;1;4;2;4;3;4;4;1;1;2.666666667;5;2;1;4;4;3;4;5;3;3.444444444
E02;F;11;Rural;1;PR;Experimental;5;3;5;3;5;3;5;3;2;3.777777778;4;4;3;4;4;3;5;3;5;3.888888889
E03;M;11;Urbana;1;PR;Experimental;5;4;3;5;3;4;1;4;3;3.555555556;4;5;4;1;2;4;1;5;4;3.333333333
E04;M;14;Urbana;1;PR;Experimental;2;1;2;1;2;2;1;1;3;1.666666667;;4;3;4;3;3;5;3;2;3.375
E05;M;11;Rural;1;PR;Experimental;3;5;2;5;3;3;1;3;5;3.333333333;5;4;2;4;1;2;4;3;5;3.333333333
E06;M;11;Rural;1;PR;Experimental;;;;;;;;;;;5;4;3;2;4;2;3;4;2;3.222222222
E07;F;11;Rural;1;PR;Experimental;3;4;4;5;4;3;4;3;4;3.777777778;3;3;4;5;5;5;5;5;5;4.444444444
E08;F;12;Urbana;1;PR;Experimental;5;4;4;3;5;4;3;2;4;3.777777778;3;4;4;5;4;3;3;5;4;3.888888889
E09;F;14;Urbana;1;PR;Experimental;;;;;;;;;;;;;;;;;;;;
E10;M;11;Rural;1;PR;Experimental;3;2;1;3;4;1;1;2;5;2.444444444;2;2;4;;2;4;3;3;2;2.75
E11;M;11;Rural;1;PR;Experimental;3;2;5;4;5;3;;;5;3.857142857;4;3;5;5;5;4;5;3;5;4.333333333
E12;F;11;Urbana;1;PR;Experimental;5;2;5;4;5;4;2;3;5;3.888888889;5;4;5;4;5;4;4;5;5;4.555555556
E13;M;14;Urbana;1;PR;Experimental;2;1;2;3;2;2;1;3;5;2.333333333;;;;;;;;;;
E14;F;13;Urbana;2;MM;Experimental;5;3;5;4;5;3;5;1;3;3.777777778;3;4;3;3;4;4;3;2;4;3.333333333
E15;M;12;Urbana;2;MM;Experimental;2;3;3;2;5;2;3;3;3;2.888888889;4;5;4;5;4;2;4;4;1;3.666666667
E16;F;10;Urbana;2;MM;Experimental;1;3;3;1;3;3;2;5;3;2.666666667;4;2;3;5;4;2;2;2;1;2.777777778
E17;M;11;Urbana;2;MM;Experimental;2;5;5;4;5;4;1;5;5;4;4;2;4;3;4;4;4;4;5;3.777777778
E18;F;10;Rural;2;MM;Experimental;4;2;5;4;3;4;2;4;5;3.666666667;3;5;3;4;4;3;4;3;3;3.555555556
E19;M;10;Rural;2;MM;Experimental;2;1;3;3;4;3;4;2;3;2.777777778;4;4;3;3;4;3;4;4;2;3.444444444
E20;F;11;Urbana;2;MM;Experimental;1;3;5;3;5;4;1;5;3;3.333333333;3;2;4;3;5;4;4;5;4;3.777777778
E21;M;10;Urbana;2;MM;Experimental;3;2;5;3;3;2;1;1;2;2.444444444;5;2;3;2;5;3;3;2;3;3.111111111
